structure_id,temperature_K,distance_bin_A,count
gb_Sigma3_t2_Li_vac_c1_s1,600,2.125,155
gb_Sigma3_t2_Li_vac_c1_s1,600,2.375,53
gb_Sigma3_t2_Li_vac_c1_s1,600,2.625,20
gb_Sigma3_t2_Li_vac_c1_s1,600,2.875,7
gb_Sigma3_t2_Li_vac_c1_s1,600,3.125,7
gb_Sigma3_t2_Li_vac_c1_s1,600,3.375,2
gb_Sigma3_t2_Li_vac_c1_s1,600,3.625,0
gb_Sigma3_t2_Li_vac_c1_s1,700,1.625,1603
gb_Sigma3_t2_Li_vac_c1_s1,700,1.875,664
gb_Sigma3_t2_Li_vac_c1_s1,700,2.125,235
gb_Sigma3_t2_Li_vac_c1_s1,700,2.375,113
gb_Sigma3_t2_Li_vac_c1_s1,700,2.625,30
gb_Sigma3_t2_Li_vac_c1_s1,700,2.875,10
gb_Sigma3_t2_Li_vac_c1_s1,700,3.125,2
gb_Sigma3_t2_Li_vac_c1_s1,700,3.375,2
gb_Sigma3_t2_Li_vac_c1_s1,700,3.625,1
gb_Sigma3_t2_Li_vac_c1_s1,700,3.875,1
gb_Sigma3_t2_Li_vac_c1_s1,700,4.125,0
gb_Sigma3_t2_Li_vac_c1_s1,800,1.625,2148
gb_Sigma3_t2_Li_vac_c1_s1,800,1.875,1083
gb_Sigma3_t2_Li_vac_c1_s1,800,2.125,422
gb_Sigma3_t2_Li_vac_c1_s1,800,2.375,170
gb_Sigma3_t2_Li_vac_c1_s1,800,2.625,65
gb_Sigma3_t2_Li_vac_c1_s1,800,2.875,19
gb_Sigma3_t2_Li_vac_c1_s1,800,3.125,8
gb_Sigma3_t2_Li_vac_c1_s1,800,3.375,1
gb_Sigma3_t2_Li_vac_c1_s1,800,3.625,1
gb_Sigma3_t2_Li_vac_c1_s1,800,3.875,0
gb_Sigma3_t2_Li_vac_c1_s1,900,1.625,2779
gb_Sigma3_t2_Li_vac_c1_s1,900,1.875,1379
gb_Sigma3_t2_Li_vac_c1_s1,900,2.125,633
gb_Sigma3_t2_Li_vac_c1_s1,900,2.375,270
gb_Sigma3_t2_Li_vac_c1_s1,900,2.625,112
gb_Sigma3_t2_Li_vac_c1_s1,900,2.875,42
gb_Sigma3_t2_Li_vac_c1_s1,900,3.125,13
gb_Sigma3_t2_Li_vac_c1_s1,900,3.375,5
