structure_id,temperature_K,run_name,li_count,nframes,trajectory_time_ps,d_tracer_cm2_s,d_tracer_err_cm2_s,log10_d_tracer,msd_last_A2
gb_Sigma3_t3_Li_vac_c1_s1,500,md_500K_20000steps,287,201,20.0,5.131722824198765e-06,8.709134993217218e-07,-5.289736808877745,11.261558159368068
gb_Sigma3_t3_Li_vac_c1_s1,600,md_600K_20000steps,287,201,20.0,1.1398475416223907e-05,2.466389391024449e-06,-4.943153233102075,18.118567242389485
gb_Sigma3_t3_Li_vac_c1_s1,700,md_700K_20000steps,287,201,20.0,1.7241305955543933e-05,2.774616833462725e-06,-4.763429841306812,25.52172441215894
gb_Sigma3_t3_Li_vac_c1_s1,800,md_800K_20000steps,287,201,20.0,2.178597325472438e-05,4.196227217321056e-06,-4.661823033859286,34.774205262793345
gb_Sigma3_t3_Li_vac_c1_s1,900,md_900K_20000steps,287,201,20.0,4.234345779883253e-05,3.051724944464628e-06,-4.373213680052182,56.678455407977246
gb_Sigma3_t3_Li_vac_c1_s2,500,md_500K_20000steps,287,201,20.0,5.918201274853522e-06,1.8478623621358812e-06,-5.227810268801647,21.807591414373494
gb_Sigma3_t3_Li_vac_c1_s2,600,md_600K_20000steps,287,201,20.0,1.4841517248140543e-05,1.4675406541841556e-06,-4.828521698867461,28.61165277126922
gb_Sigma3_t3_Li_vac_c1_s2,700,md_700K_20000steps,287,201,20.0,1.912057757671761e-05,2.714180598965583e-06,-4.718498993095863,39.80802042807353
gb_Sigma3_t3_Li_vac_c1_s2,800,md_800K_20000steps,287,201,20.0,2.8036390938467576e-05,4.138440597441215e-06,-4.5522778928590055,46.75971948684301
gb_Sigma3_t3_Li_vac_c1_s2,900,md_900K_20000steps,287,201,20.0,5.883125524339669e-05,1.3283554881245835e-05,-4.230391885260949,75.26954891194211
gb_Sigma3_t3_Li_vac_c2_s1,500,md_500K_20000steps,286,201,20.0,4.275981069378935e-06,2.3447637303777935e-06,-5.368964226167297,19.047623821114996
